gene	gene_id	transcript	canonical	mane_select	lof_hc_lc.obs	lof_hc_lc.exp	lof_hc_lc.possible	lof_hc_lc.oe	lof_hc_lc.mu	lof_hc_lc.pLI	lof_hc_lc.pNull	lof_hc_lc.pRec	lof.obs	lof.exp	lof.possible	lof.oe	lof.mu	lof.pLI	lof.pNull	lof.pRec	lof.oe_ci.lower	lof.oe_ci.upper	lof.oe_ci.upper_rank	lof.oe_ci.upper_bin_decile	lof.z_raw	lof.z_score	mis.obs	mis.exp	mis.possible	mis.oe	mis.mu	mis.oe_ci.lower	mis.oe_ci.upper	mis.z_raw	mis.z_score	mis_pphen.obs	mis_pphen.exp	mis_pphen.possible	mis_pphen.oe	syn.obs	syn.exp	syn.possible	syn.oe	syn.mu	syn.oe_ci.lower	syn.oe_ci.upper	syn.z_raw	syn.z_score	constraint_flags	level	transcript_type	chromosome	cds_length	num_coding_exons
BRCA1	ENSG00000012048	ENST00000477152	false	false	38	5.5513e+01	333	6.8452e-01	4.3513e-07	2.8730e-09	1.2445e-02	9.8755e-01	38	5.5513e+01	333	6.8452e-01	4.3513e-07	3.0075e-09	1.1873e-02	9.8813e-01	5.2700e-01	8.9700e-01	NA	NA	2.3506e+00	1.9916e+00	628	7.6847e+02	4148	8.1721e-01	5.1040e-06	7.6500e-01	8.7300e-01	5.0671e+00	1.8505e+00	123	1.5707e+02	961	7.8311e-01	228	2.6628e+02	1120	8.5625e-01	2.0278e-06	7.6800e-01	9.5600e-01	2.3456e+00	1.2785e+00	[]	2	protein_coding	chr17	1867	8
BRCA1	ENSG00000012048	ENST00000478531	false	false	54	7.8413e+01	422	6.8866e-01	7.7366e-07	7.9314e-13	3.9263e-03	9.9607e-01	54	7.8413e+01	422	6.8866e-01	7.7366e-07	8.2994e-13	3.7444e-03	9.9626e-01	5.5200e-01	8.6400e-01	NA	NA	2.7569e+00	2.3359e+00	612	7.3133e+02	3912	8.3683e-01	5.5743e-06	7.8200e-01	8.9500e-01	4.4127e+00	1.6115e+00	154	2.0667e+02	1163	7.4514e-01	234	2.5745e+02	1106	9.0890e-01	2.0020e-06	8.1600e-01	1.0130e+00	1.4618e+00	7.9672e-01	[]	2	protein_coding	chr17	1870	17
BRCA1	ENSG00000012048	ENST00000484087	false	false	43	6.1166e+01	330	7.0301e-01	7.2670e-07	1.0439e-10	1.3453e-02	9.8655e-01	43	6.1166e+01	330	7.0301e-01	7.2670e-07	1.0928e-10	1.2836e-02	9.8716e-01	5.5000e-01	9.0700e-01	NA	NA	2.3227e+00	1.9680e+00	518	6.1138e+02	3263	8.4726e-01	5.3900e-06	7.8800e-01	9.1100e-01	3.7767e+00	1.3792e+00	109	1.4014e+02	812	7.7782e-01	204	2.1807e+02	939	9.3546e-01	1.6386e-06	8.3400e-01	1.0510e+00	9.5310e-01	5.1948e-01	[]	2	protein_coding	chr17	1495	12
BRCA1	ENSG00000012048	ENST00000487825	false	false	26	3.1823e+01	168	8.1703e-01	5.4083e-07	4.3942e-08	1.6987e-01	8.3013e-01	26	3.1823e+01	168	8.1703e-01	5.4083e-07	4.6338e-08	1.6326e-01	8.3674e-01	5.9800e-01	1.1340e+00	NA	NA	1.0322e+00	8.7455e-01	277	3.2295e+02	1748	8.5772e-01	3.9414e-06	7.7700e-01	9.4700e-01	2.5568e+00	9.3373e-01	131	1.5585e+02	862	8.4058e-01	98	1.1315e+02	485	8.6610e-01	1.2720e-06	7.3400e-01	1.0240e+00	1.4244e+00	7.7634e-01	[]	2	protein_coding	chr17	800	7
BRCA1	ENSG00000012048	ENST00000489037	false	false	8	1.3569e+01	78	5.8958e-01	1.9089e-07	2.0661e-02	7.5226e-02	9.0411e-01	8	1.3569e+01	78	5.8958e-01	1.9089e-07	2.1671e-02	7.1912e-02	9.0642e-01	3.4500e-01	1.0640e+00	NA	NA	1.5118e+00	1.2809e+00	92	1.1695e+02	651	7.8668e-01	1.5564e-06	6.6400e-01	9.3600e-01	2.3069e+00	8.4247e-01	30	4.2934e+01	255	6.9874e-01	34	3.8630e+01	165	8.8014e-01	6.1580e-07	6.6900e-01	1.1720e+00	7.4498e-01	4.0605e-01	[]	2	protein_coding	chr17	296	4
BRCA1	ENSG00000012048	ENST00000491747	false	false	75	1.0309e+02	533	7.2749e-01	1.1157e-06	1.1442e-18	4.1457e-03	9.9585e-01	75	1.0309e+02	533	7.2749e-01	1.1157e-06	1.1973e-18	3.9538e-03	9.9605e-01	6.0300e-01	8.8200e-01	NA	NA	2.7669e+00	2.3444e+00	770	9.0310e+02	4804	8.5262e-01	6.1926e-06	8.0300e-01	9.0500e-01	4.4291e+00	1.6175e+00	137	1.8146e+02	1021	7.5500e-01	272	3.1738e+02	1351	8.5701e-01	2.0424e-06	7.7500e-01	9.4800e-01	2.5474e+00	1.3885e+00	[]	2	protein_coding	chr17	2277	22
BRCA1	ENSG00000012048	ENST00000492859	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	5.5147e+01	288	8.5226e-01	7.0912e-07	6.7400e-01	1.0870e+00	1.0971e+00	4.0066e-01	27	3.5676e+01	194	7.5681e-01	13	1.7086e+01	73	7.6086e-01	2.5297e-07	4.9400e-01	1.2100e+00	9.8851e-01	5.3878e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr17	177	3
BRCA1	ENSG00000012048	ENST00000493795	false	false	132	1.6954e+02	977	7.7857e-01	1.6455e-06	1.2201e-34	5.6346e-03	9.9437e-01	132	1.6810e+02	971	7.8525e-01	1.6190e-06	6.1994e-35	8.1888e-03	9.9181e-01	6.8100e-01	9.0700e-01	NA	NA	2.7843e+00	2.3591e+00	1901	2.1966e+03	11898	8.6541e-01	1.3386e-05	8.3200e-01	8.9900e-01	6.3078e+00	2.3036e+00	212	2.5496e+02	1657	8.3149e-01	642	7.7590e+02	3294	8.2743e-01	5.4159e-06	7.7500e-01	8.8300e-01	4.8070e+00	2.6200e+00	[]	2	protein_coding	chr17	5448	20
BRCA1	ENSG00000012048	ENST00000493919	false	false	51	7.1991e+01	383	7.0842e-01	7.7445e-07	1.2704e-12	9.0800e-03	9.9092e-01	51	7.0549e+01	377	7.2290e-01	7.4801e-07	6.4447e-13	1.3175e-02	9.8682e-01	5.7600e-01	9.1300e-01	NA	NA	2.3274e+00	1.9720e+00	560	6.7117e+02	3592	8.3436e-01	5.2676e-06	7.7800e-01	8.9500e-01	4.2912e+00	1.5671e+00	139	1.8813e+02	1044	7.3886e-01	219	2.3935e+02	1027	9.1497e-01	1.9250e-06	8.1900e-01	1.0230e+00	1.3155e+00	7.1700e-01	[]	2	protein_coding	chr17	1716	15
BRCA1	ENSG00000012048	ENST00000494123	false	false	33	4.6400e+01	273	7.1120e-01	4.2387e-07	1.3782e-08	3.1207e-02	9.6879e-01	33	4.6400e+01	273	7.1120e-01	4.2387e-07	1.4440e-08	2.9799e-02	9.7020e-01	5.3800e-01	9.5100e-01	NA	NA	1.9672e+00	1.6668e+00	456	5.4690e+02	2963	8.3378e-01	4.8883e-06	7.7100e-01	9.0100e-01	3.8871e+00	1.4196e+00	78	9.3537e+01	588	8.3390e-01	167	1.9103e+02	798	8.7422e-01	1.6313e-06	7.7000e-01	9.9400e-01	1.7384e+00	9.4750e-01	[]	2	protein_coding	chr17	1419	9
BRCA1	ENSG00000012048	ENST00000497488	false	false	12	1.3671e+01	88	8.7780e-01	1.0875e-07	1.3407e-04	2.4528e-01	7.5459e-01	10	1.2523e+01	82	7.9855e-01	8.8524e-08	1.0013e-03	1.7779e-01	8.2121e-01	4.9200e-01	1.3530e+00	NA	NA	7.1286e-01	6.0400e-01	179	2.1506e+02	1177	8.3231e-01	1.5112e-06	7.3600e-01	9.4200e-01	2.4592e+00	8.9807e-01	44	5.4580e+01	347	8.0616e-01	61	7.6927e+01	318	7.9296e-01	3.9248e-07	6.4400e-01	9.8100e-01	1.8159e+00	9.8975e-01	[]	2	protein_coding	chr17	531	1
BRCA1	ENSG00000012048	ENST00000586385	false	false	27	3.2556e+01	153	8.2935e-01	6.0920e-07	1.8136e-08	1.8940e-01	8.1060e-01	27	3.2556e+01	153	8.2935e-01	6.0920e-07	1.9143e-08	1.8220e-01	8.1780e-01	6.1000e-01	1.1440e+00	NA	NA	9.7369e-01	8.2500e-01	191	2.1636e+02	1123	8.8279e-01	2.0808e-06	7.8400e-01	9.9500e-01	1.7240e+00	6.2959e-01	64	7.5360e+01	383	8.4926e-01	60	7.5988e+01	316	7.8960e-01	6.4653e-07	6.4100e-01	9.7900e-01	1.8341e+00	9.9967e-01	[]	2	protein_coding	chr17	519	8
BRCA1	ENSG00000012048	ENST00000591534	false	false	36	5.0214e+01	255	7.1693e-01	7.4677e-07	2.3349e-09	2.8967e-02	9.7103e-01	35	4.9083e+01	249	7.1308e-01	7.2691e-07	4.7466e-09	2.7241e-02	9.7276e-01	5.4400e-01	9.4500e-01	NA	NA	2.0102e+00	1.7032e+00	386	4.4175e+02	2310	8.7380e-01	3.1447e-06	8.0300e-01	9.5100e-01	2.6525e+00	9.6867e-01	32	3.2347e+01	181	9.8929e-01	136	1.5834e+02	677	8.5893e-01	1.1548e-06	7.4600e-01	9.9000e-01	1.7751e+00	9.6753e-01	[]	2	protein_coding	chr17	1062	10
BRCA1	ENSG00000012048	ENST00000591849	false	false	13	1.5367e+01	67	8.4596e-01	3.4325e-07	9.4918e-05	2.1848e-01	7.8143e-01	13	1.5367e+01	67	8.4596e-01	3.4325e-07	1.0032e-04	2.1046e-01	7.8944e-01	5.5000e-01	1.3440e+00	NA	NA	6.0387e-01	5.1165e-01	109	1.0828e+02	555	1.0066e+00	1.1583e-06	8.6100e-01	1.1800e+00	-6.8824e-02	-2.5134e-02	41	3.9955e+01	221	1.0262e+00	27	4.0305e+01	163	6.6988e-01	3.6167e-07	4.9300e-01	9.2400e-01	2.0958e+00	1.1423e+00	[]	2	protein_coding	chr17	288	4
BRCA1	ENSG00000012048	ENST00000618469	false	false	1	1.7867e+00	10	5.5969e-01	2.5177e-08	2.1777e-01	1.4749e-01	6.3474e-01	1	1.7867e+00	10	5.5969e-01	2.5177e-08	2.2710e-01	1.4018e-01	6.3271e-01	1.8300e-01	1.7880e+00	NA	NA	5.8855e-01	4.9867e-01	25	2.7582e+01	141	9.0638e-01	5.3115e-07	6.6000e-01	1.2660e+00	4.9166e-01	1.7955e-01	2	1.1952e+00	7	1.6734e+00	9	9.7315e+00	41	9.2483e-01	1.9343e-07	5.5600e-01	1.5880e+00	2.3450e-01	1.2781e-01	[]	2	protein_coding	chr17	71	1
BRCA1	ENSG00000012048	ENST00000634433	false	false	37	5.8417e+01	371	6.3338e-01	4.7936e-07	4.2099e-08	3.7743e-03	9.9623e-01	37	5.8417e+01	371	6.3338e-01	4.7936e-07	4.4052e-08	3.5994e-03	9.9640e-01	4.8600e-01	8.3300e-01	NA	NA	2.8022e+00	2.3742e+00	799	9.4958e+02	5153	8.4142e-01	6.3382e-06	7.9300e-01	8.9200e-01	4.8866e+00	1.7846e+00	120	1.5234e+02	919	7.8773e-01	279	3.2973e+02	1398	8.4615e-01	2.5666e-06	7.6600e-01	9.3400e-01	2.7938e+00	1.5227e+00	[]	2	protein_coding	chr17	2395	7
BRCA1	ENSG00000012048	ENST00000642945	false	false	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	5.5147e+01	288	8.5226e-01	7.2598e-07	6.7400e-01	1.0870e+00	1.0971e+00	4.0066e-01	27	3.5937e+01	197	7.5132e-01	13	1.7086e+01	73	7.6086e-01	2.5297e-07	4.9400e-01	1.2100e+00	9.8851e-01	5.3878e-01	["no_exp_lof"]	2	nonsense_mediated_decay	chr17	243	3
BRCA1	ENSG00000012048	ENST00000644379	false	false	68	8.4993e+01	441	8.0006e-01	9.7633e-07	6.8592e-19	6.9340e-02	9.3066e-01	68	8.4993e+01	441	8.0006e-01	9.7633e-07	7.1994e-19	6.6331e-02	9.3367e-01	6.5700e-01	9.7900e-01	NA	NA	1.8433e+00	1.5618e+00	711	8.0715e+02	4318	8.8088e-01	4.5781e-06	8.2700e-01	9.3700e-01	3.3843e+00	1.2359e+00	116	1.4025e+02	816	8.2709e-01	243	2.9047e+02	1211	8.3657e-01	1.9544e-06	7.5300e-01	9.3000e-01	2.7853e+00	1.5181e+00	[]	2	protein_coding	chr17	1976	15
BRCA1	ENSG00000012048	ENST00000644555	false	false	7	1.0292e+01	55	6.8013e-01	1.6175e-07	1.2994e-02	1.3167e-01	8.5534e-01	6	6.4887e+00	37	9.2468e-01	1.0180e-07	6.1315e-03	2.3924e-01	7.5463e-01	5.0200e-01	1.7090e+00	NA	NA	1.9186e-01	1.6256e-01	34	4.7601e+01	282	7.1427e-01	6.9221e-07	5.4200e-01	9.5100e-01	1.9714e+00	7.1993e-01	1	2.8834e+00	20	3.4681e-01	16	1.6737e+01	68	9.5596e-01	3.1143e-07	6.4600e-01	1.4500e+00	1.8018e-01	9.8208e-02	[]	2	protein_coding	chr17	197	3
BRCA1	ENSG00000012048	ENST00000652672	false	false	37	5.2578e+01	313	7.0371e-01	4.6566e-07	2.2463e-09	2.0652e-02	9.7935e-01	36	4.8775e+01	295	7.3809e-01	4.0572e-07	1.1756e-09	4.1621e-02	9.5838e-01	5.6500e-01	9.7500e-01	NA	NA	1.8292e+00	1.5498e+00	581	7.1332e+02	3860	8.1450e-01	4.6645e-06	7.6000e-01	8.7200e-01	4.9543e+00	1.8093e+00	100	1.2338e+02	809	8.1052e-01	215	2.4919e+02	1047	8.6280e-01	1.8949e-06	7.7100e-01	9.6600e-01	2.1659e+00	1.1805e+00	[]	2	protein_coding	chr17	1805	7
MYH7	4625	NM_000257.4	true	true	129	2.3414e+02	1177	5.5095e-01	1.9450e-06	4.8589e-19	1.1265e-11	1.0000e+00	129	2.3192e+02	1167	5.5621e-01	1.9049e-06	1.6832e-19	2.0600e-11	1.0000e+00	4.8100e-01	6.4400e-01	NA	NA	6.7584e+00	5.7263e+00	1649	2.5990e+03	12630	6.3446e-01	1.3820e-05	6.0800e-01	6.6100e-01	1.8635e+01	6.8055e+00	692	1.2016e+03	5995	5.7590e-01	971	1.0424e+03	3565	9.3152e-01	4.9994e-06	8.8300e-01	9.8200e-01	2.2108e+00	1.2050e+00	[]	NA	NA	NA	NA	NA
MYH7	4625	XM_017021340.1	false	false	129	2.3346e+02	1174	5.5257e-01	1.9325e-06	3.4526e-19	1.3777e-11	1.0000e+00	129	2.3192e+02	1167	5.5621e-01	1.9049e-06	1.6832e-19	2.0600e-11	1.0000e+00	4.8100e-01	6.4400e-01	NA	NA	6.7584e+00	5.7263e+00	1649	2.5990e+03	12630	6.3446e-01	1.3820e-05	6.0800e-01	6.6100e-01	1.8635e+01	6.8055e+00	692	1.2016e+03	5995	5.7590e-01	971	1.0424e+03	3565	9.3152e-01	4.9994e-06	8.8300e-01	9.8200e-01	2.2108e+00	1.2050e+00	[]	NA	NA	NA	NA	NA
MYH7	ENSG00000092054	ENST00000355349	true	true	129	2.3414e+02	1177	5.5095e-01	1.9450e-06	4.8589e-19	1.1265e-11	1.0000e+00	129	2.3192e+02	1167	5.5621e-01	1.9049e-06	1.6832e-19	2.0600e-11	1.0000e+00	4.8100e-01	6.4400e-01	4415	2	6.7584e+00	5.7263e+00	1649	2.5990e+03	12630	6.3446e-01	1.3820e-05	6.0800e-01	6.6100e-01	1.8635e+01	6.8055e+00	692	1.2016e+03	5995	5.7590e-01	971	1.0424e+03	3565	9.3152e-01	4.9994e-06	8.8300e-01	9.8200e-01	2.2108e+00	1.2050e+00	[]	2	protein_coding	chr14	5805	38
